2019-01-09 11:49:41.772 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2019-01-09 11:49:41.774 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8000 (http) with context path ''
2019-01-09 11:49:41.778 [main] INFO  com.temp.springcloud.security.SpringSecurityTx - Started SpringSecurityTx in 6.486 seconds (JVM running for 7.249)
2019-01-09 11:49:41.782 [main] INFO  c.t.s.s.controller.SqlFileExecutorController - ===========执行脚本文件：D:\component\component\springCloud\base_boot2\target\classes\com\temp\springcloud\sqlscript\sqlfiles\001_hqbpmn_20181211_v2.3.2.0_mfl_init.sql =========== 
2019-01-09 11:49:41.794 [main] INFO  c.t.s.s.controller.SqlFileExecutorController - ===========执行脚本文件：D:\component\component\springCloud\base_boot2\target\classes\com\temp\springcloud\sqlscript\sqlfiles\002_hqbpmn_20181211_v2.3.2.0_lw_init.sql =========== 
2019-01-09 11:50:08.495 [http-nio-8000-exec-1] INFO  com.temp.springcloud.admin.AdminController - 登录成功！
2019-01-09 11:50:34.336 [main] INFO  com.temp.springcloud.security.SpringSecurityTx - Starting SpringSecurityTx on MS-20181009BXWL with PID 509296 (D:\component\component\springCloud\base_boot2\target\classes started by Administrator in D:\component\component\springCloud)
2019-01-09 11:50:34.338 [main] INFO  com.temp.springcloud.security.SpringSecurityTx - No active profile set, falling back to default profiles: default
2019-01-09 11:50:35.526 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-01-09 11:50:35.528 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-01-09 11:50:35.566 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23ms. Found 0 repository interfaces.
2019-01-09 11:50:35.581 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-01-09 11:50:35.582 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-01-09 11:50:35.596 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5ms. Found 0 repository interfaces.
2019-01-09 11:50:36.295 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$5593a911] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
